campaign_id,segments_date,customer_id
c6066bb08e5e24546d891865cfa6d4e6ad4c8a10f59b6ff3a19ed2b0b6227f8d,2025-01-11 00:00:00+00:00,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454
f5a61ec3e6bf7aae72961d7c84af86faa3717b7a4c988da923131f016f4e4b15,2025-01-15 00:00:00+00:00,35d2da356bafc486fe6a3f81cd893c5cbf9df2914574ef51e53950b581eb0a2c
b66615ea4788cf5cd62356e2821eb98a8eecd1e21065a0dd2a2721f61cae77a0,2025-01-13 00:00:00+00:00,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454
7bb32b88ae59ebd5d516bd0848b8950f59fe8c482f3f2f9f6ad62121572a018f,2025-01-10 00:00:00+00:00,35d2da356bafc486fe6a3f81cd893c5cbf9df2914574ef51e53950b581eb0a2c
267defe061c7e7369e925c0a26548b922accfea0ba8f485742e03b489c1b71fd,2025-01-05 00:00:00+00:00,607cb5a07e89f5d2783fd1a21b5a8572fe725a127ce35d07a954759b979b653e
90dba4e4a379095347449f13bf95c09ee10c969584bbe641ba3646e36d30262f,2025-01-04 00:00:00+00:00,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454
e3f471d76ca5a88260e845da0eb0fa14afbfc4904d8e58bd631944cda8509586,2025-01-04 00:00:00+00:00,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454
1e6663d37bdcae75c244e9ecde51ccf359a85a18c6440787671b939a4498d370,2025-01-08 00:00:00+00:00,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454
c6066bb08e5e24546d891865cfa6d4e6ad4c8a10f59b6ff3a19ed2b0b6227f8d,2025-01-08 00:00:00+00:00,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454
8efb303079ccd2c9888ccdd3b716278f39ca37c5b5e93ae8e1eaeaeb6c8ae53f,2025-01-07 00:00:00+00:00,607cb5a07e89f5d2783fd1a21b5a8572fe725a127ce35d07a954759b979b653e
